0.0, 0.0, 1.0, 1.0, 784.0, 0.0, 1.0, 149.0, 2.0, 0.0
0.0, 0.0, 1.0, 1.0, 105.0, 0.0, 1.0, 74.0, 2.0, 0.0
0.0, 1.0, 2.0, 1.0, 4189.0, 0.0, 0.0, 897.0, 2.0, 1.0
0.0, 3.0, 1.0, 1.0, 171.0, 0.0, 0.0, 81.0, 3.0, 0.0
0.0, 2.0, 1.0, 1.0, 42.0, 0.0, 0.0, 40.0, 1.0, 0.0
0.0, 2.0, 0.0, 2.0, 2536.0, 1.0, 0.0, 958.0, 6.0, 1.0
0.0, 3.0, 1.0, 2.0, 1235.0, 0.0, 0.0, 354.0, 3.0, 1.0
0.0, 0.0, 2.0, 1.0, 1811.0, 1.0, 0.0, 150.0, 1.0, 0.0
0.0, 3.0, 2.0, 0.0, 229.0, 0.0, 0.0, 97.0, 1.0, 1.0
0.0, 1.0, 1.0, 1.0, 2089.0, 1.0, 0.0, 132.0, 1.0, 1.0
0.0, 2.0, 1.0, 1.0, 3935.0, 1.0, 0.0, 765.0, 1.0, 1.0
0.0, 2.0, 1.0, 1.0, 132.0, 0.0, 0.0, 148.0, 1.0, 0.0
0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
